"species"
"Abudefduf saxatilis"
"Acalymma vittatum"
"Acanalonia conica"
"Acanthis flammea"
"Accipiter gentilis"
"Accipiter striatus"
"Actitis macularius"
"Adalia bipunctata"
"Adelges tsugae"
"Agelaius phoeniceus"
"Agraulis vanillae"
"Agrotis ipsilon"
"Aix sponsa"
"Alca torda"
"Alopochen aegyptiaca"
"Amazona amazonica"
"Ameiurus melas"
"Anas acuta"
"Anas americana"
"Anas clypeata"
"Anas crecca"
"Anas cyanoptera"
"Anas discors"
"Anas platyrhynchos"
"Anas rubripes"
"Anas strepera"
"Ancistrocerus gazella"
"Anolis carolinensis"
"Anolis cristatellus"
"Anser albifrons"
"Anser anser"
"Anser cygnoides"
"Anthidium manicatum"
"Anthocomus equestris"
"Anthrenus verbasci"
"Anthus rubescens"
"Aphis nerii"
"Aquila chrysaetos"
"Ara ararauna"
"Araneus diadematus"
"Araneus marmoreus"
"Aratinga acuticaudata"
"Aratus pisonii"
"Ardea alba"
"Ardea herodias"
"Arion intermedius"
"Armadillidium nasatum"
"Armadillidium vulgare"
"Asio flammeus"
"Aythya affinis"
"Aythya americana"
"Aythya collaris"
"Aythya marila"
"Aythya valisineria"
"Balanus glandula"
"Bartramia longicauda"
"Bipalium kewense"
"Bombus cryptarum"
"Bombycilla cedrorum"
"Bombycilla garrulus"
"Bombylius major"
"Botaurus lentiginosus"
"Botryllus schlosseri"
"Bradybaena similaris"
"Branta bernicla"
"Branta canadensis"
"Branta hutchinsii"
"Brevoortia tyrannus"
"Bubo scandiacus"
"Bubo virginianus"
"Bubulcus ibis"
"Bucephala albeola"
"Bucephala clangula"
"Bucephala islandica"
"Buteo jamaicensis"
"Buteo lagopus"
"Butorides virescens"
"Cairina moschata"
"Calcarius lapponicus"
"Calidris maritima"
"Calidris minutilla"
"Callinectes sapidus"
"Camponotus pennsylvanicus"
"Cancer irroratus"
"Cantharis livida"
"Carabus nemoralis"
"Caracara cheriway"
"Carassius auratus"
"Carcinus maenas"
"Cardellina pusilla"
"Cardinalis cardinalis"
"Castor canadensis"
"Cathartes aura"
"Catharus guttatus"
"Catharus minimus"
"Catharus ustulatus"
"Cepaea nemoralis"
"Cepphus grylle"
"Chaetura pelagica"
"Charadrius vociferus"
"Chelonia mydas"
"Chelydra serpentina"
"Chen caerulescens"
"Chen rossii"
"Chlidonias niger"
"Chroicocephalus philadelphia"
"Chrysemys picta"
"Cinclus mexicanus"
"Circus cyaneus"
"Clangula hyemalis"
"Clepsis peritana"
"Coccinella septempunctata"
"Coenonympha tullia"
"Colaptes auratus"
"Colinus virginianus"
"Columba livia"
"Contopus cooperi"
"Contopus sordidulus"
"Contopus virens"
"Corbicula fluminea"
"Cornu aspersum"
"Corvus corax"
"Costaconvexa centrostrigaria"
"Crassostrea virginica"
"Crepidula fornicata"
"Cucumaria miniata"
"Cyanocitta cristata"
"Cygnus buccinator"
"Cygnus columbianus"
"Cygnus olor"
"Cystiphora sonchi"
"Danaus plexippus"
"Dendrocygna autumnalis"
"Deroceras reticulatum"
