"kingdom","phylum","class","species","nobs","city"
"Animalia","Arthropoda","Insecta","Bombus pensylvanicus",37,"Albuquerque"
"Animalia","Arthropoda","Insecta","Chorizagrotis auxiliaris",27,"Albuquerque"
"Animalia","Arthropoda","Insecta","Coccinella septempunctata",13,"Albuquerque"
"Animalia","Arthropoda","Insecta","Cysteodemus wislizeni",14,"Albuquerque"
"Animalia","Arthropoda","Insecta","Dasymutilla vestita",20,"Albuquerque"
"Animalia","Arthropoda","Insecta","Eleodes caudifera",11,"Albuquerque"
"Animalia","Arthropoda","Insecta","Eleodes obscura",12,"Albuquerque"
"Animalia","Arthropoda","Insecta","Euptoieta claudia",12,"Albuquerque"
"Animalia","Arthropoda","Insecta","Hippodamia convergens",87,"Albuquerque"
"Animalia","Arthropoda","Insecta","Hyles lineata",41,"Albuquerque"
"Animalia","Arthropoda","Insecta","Jadera haematoloma",19,"Albuquerque"
"Animalia","Arthropoda","Insecta","Junonia coenia",22,"Albuquerque"
"Animalia","Arthropoda","Insecta","Libellula saturata",15,"Albuquerque"
"Animalia","Arthropoda","Insecta","Mallophora fautrix",13,"Albuquerque"
"Animalia","Arthropoda","Insecta","Manduca rustica",15,"Albuquerque"
"Animalia","Arthropoda","Insecta","Manduca sexta",15,"Albuquerque"
"Animalia","Arthropoda","Insecta","Megatibicen dealbatus",11,"Albuquerque"
"Animalia","Arthropoda","Insecta","Melanoplus differentialis",11,"Albuquerque"
"Animalia","Arthropoda","Insecta","Nymphalis antiopa",23,"Albuquerque"
"Animalia","Arthropoda","Insecta","Papilio multicaudata",29,"Albuquerque"
"Animalia","Arthropoda","Insecta","Pogonomyrmex rugosus",37,"Albuquerque"
"Animalia","Arthropoda","Insecta","Polistes aurifer",24,"Albuquerque"
"Animalia","Arthropoda","Insecta","Pontia protodice",29,"Albuquerque"
"Animalia","Arthropoda","Insecta","Schistocerca shoshone",19,"Albuquerque"
"Animalia","Arthropoda","Insecta","Sphecius speciosus",21,"Albuquerque"
"Animalia","Arthropoda","Insecta","Stagmomantis limbata",26,"Albuquerque"
"Animalia","Arthropoda","Insecta","Strymon melinus",14,"Albuquerque"
"Animalia","Arthropoda","Insecta","Vanessa cardui",70,"Albuquerque"
"Animalia","Arthropoda","Insecta","Xylocopa sonorina",11,"Albuquerque"
"Animalia","Arthropoda","Malacostraca","Armadillidium vulgare",11,"Albuquerque"
"Animalia","Arthropoda",NA,"Latrodectus hesperus",34,"Albuquerque"
"Animalia","Chordata","Amphibia","Anaxyrus woodhousii",15,"Albuquerque"
"Animalia","Chordata","Amphibia","Lithobates catesbeianus",40,"Albuquerque"
"Animalia","Chordata","Aves","Accipiter cooperii",322,"Albuquerque"
"Animalia","Chordata","Aves","Accipiter striatus",79,"Albuquerque"
"Animalia","Chordata","Aves","Actitis macularius",28,"Albuquerque"
"Animalia","Chordata","Aves","Agelaius phoeniceus",119,"Albuquerque"
"Animalia","Chordata","Aves","Aimophila ruficeps",19,"Albuquerque"
"Animalia","Chordata","Aves","Aix sponsa",180,"Albuquerque"
"Animalia","Chordata","Aves","Amphispiza bilineata",96,"Albuquerque"
"Animalia","Chordata","Aves","Anas acuta",20,"Albuquerque"
"Animalia","Chordata","Aves","Anas americana",103,"Albuquerque"
"Animalia","Chordata","Aves","Anas clypeata",81,"Albuquerque"
"Animalia","Chordata","Aves","Anas crecca",56,"Albuquerque"
"Animalia","Chordata","Aves","Anas cyanoptera",62,"Albuquerque"
"Animalia","Chordata","Aves","Anas discors",25,"Albuquerque"
"Animalia","Chordata","Aves","Anas platyrhynchos",436,"Albuquerque"
"Animalia","Chordata","Aves","Anas strepera",78,"Albuquerque"
"Animalia","Chordata","Aves","Anser albifrons",15,"Albuquerque"
"Animalia","Chordata","Aves","Anser cygnoides",11,"Albuquerque"
"Animalia","Chordata","Aves","Anthus rubescens",24,"Albuquerque"
"Animalia","Chordata","Aves","Aphelocoma woodhouseii",177,"Albuquerque"
"Animalia","Chordata","Aves","Aquila chrysaetos",15,"Albuquerque"
"Animalia","Chordata","Aves","Archilochus alexandri",280,"Albuquerque"
"Animalia","Chordata","Aves","Ardea alba",16,"Albuquerque"
"Animalia","Chordata","Aves","Ardea herodias",103,"Albuquerque"
"Animalia","Chordata","Aves","Artemisiospiza nevadensis",17,"Albuquerque"
"Animalia","Chordata","Aves","Athene cunicularia",28,"Albuquerque"
"Animalia","Chordata","Aves","Aythya affinis",40,"Albuquerque"
"Animalia","Chordata","Aves","Aythya americana",24,"Albuquerque"
"Animalia","Chordata","Aves","Aythya collaris",60,"Albuquerque"
"Animalia","Chordata","Aves","Aythya valisineria",34,"Albuquerque"
"Animalia","Chordata","Aves","Baeolophus ridgwayi",42,"Albuquerque"
"Animalia","Chordata","Aves","Bombycilla cedrorum",163,"Albuquerque"
"Animalia","Chordata","Aves","Branta canadensis",425,"Albuquerque"
"Animalia","Chordata","Aves","Branta hutchinsii",82,"Albuquerque"
"Animalia","Chordata","Aves","Bubo virginianus",94,"Albuquerque"
"Animalia","Chordata","Aves","Bubulcus ibis",28,"Albuquerque"
"Animalia","Chordata","Aves","Bucephala albeola",33,"Albuquerque"
"Animalia","Chordata","Aves","Bucephala clangula",12,"Albuquerque"
"Animalia","Chordata","Aves","Buteo jamaicensis",198,"Albuquerque"
"Animalia","Chordata","Aves","Buteo regalis",11,"Albuquerque"
"Animalia","Chordata","Aves","Buteo swainsoni",111,"Albuquerque"
"Animalia","Chordata","Aves","Buteogallus anthracinus",15,"Albuquerque"
"Animalia","Chordata","Aves","Calamospiza melanocorys",21,"Albuquerque"
"Animalia","Chordata","Aves","Callipepla gambelii",82,"Albuquerque"
"Animalia","Chordata","Aves","Callipepla squamata",24,"Albuquerque"
