"kingdom","phylum","class","species","nobs","city"
"Animalia","Arthropoda","Insecta","Acanthocephala declivis",29,"Atlanta"
"Animalia","Arthropoda","Insecta","Actias luna",19,"Atlanta"
"Animalia","Arthropoda","Insecta","Agraulis vanillae",95,"Atlanta"
"Animalia","Arthropoda","Insecta","Alaus oculatus",17,"Atlanta"
"Animalia","Arthropoda","Insecta","Apis mellifera",66,"Atlanta"
"Animalia","Arthropoda","Insecta","Argia fumipennis",14,"Atlanta"
"Animalia","Arthropoda","Insecta","Arilus cristatus",12,"Atlanta"
"Animalia","Arthropoda","Insecta","Asterocampa celtis",11,"Atlanta"
"Animalia","Arthropoda","Insecta","Boisea trivittata",27,"Atlanta"
"Animalia","Arthropoda","Insecta","Bombus griseocollis",11,"Atlanta"
"Animalia","Arthropoda","Insecta","Bombus impatiens",62,"Atlanta"
"Animalia","Arthropoda","Insecta","Bombus pensylvanicus",25,"Atlanta"
"Animalia","Arthropoda","Insecta","Calopteryx maculata",14,"Atlanta"
"Animalia","Arthropoda","Insecta","Camponotus americanus",15,"Atlanta"
"Animalia","Arthropoda","Insecta","Camponotus pennsylvanicus",31,"Atlanta"
"Animalia","Arthropoda","Insecta","Coccinella septempunctata",12,"Atlanta"
"Animalia","Arthropoda","Insecta","Danaus plexippus",42,"Atlanta"
"Animalia","Arthropoda","Insecta","Delphinia picta",12,"Atlanta"
"Animalia","Arthropoda","Insecta","Elkalyce comyntas",22,"Atlanta"
"Animalia","Arthropoda","Insecta","Epargyreus clarus",37,"Atlanta"
"Animalia","Arthropoda","Insecta","Eremnophila aureonotata",14,"Atlanta"
"Animalia","Arthropoda","Insecta","Erynnis horatius",19,"Atlanta"
"Animalia","Arthropoda","Insecta","Erythemis simplicicollis",16,"Atlanta"
"Animalia","Arthropoda","Insecta","Eupeodes americanus",12,"Atlanta"
"Animalia","Arthropoda","Insecta","Halyomorpha halys",19,"Atlanta"
"Animalia","Arthropoda","Insecta","Halysidota harrisii",17,"Atlanta"
"Animalia","Arthropoda","Insecta","Halysidota tessellaris",28,"Atlanta"
"Animalia","Arthropoda","Insecta","Harmonia axyridis",109,"Atlanta"
"Animalia","Arthropoda","Insecta","Heliconius charithonia",56,"Atlanta"
"Animalia","Arthropoda","Insecta","Hylephila phyleus",61,"Atlanta"
"Animalia","Arthropoda","Insecta","Ischnura posita",20,"Atlanta"
"Animalia","Arthropoda","Insecta","Junonia coenia",30,"Atlanta"
"Animalia","Arthropoda","Insecta","Lerema accius",17,"Atlanta"
"Animalia","Arthropoda","Insecta","Libytheana carinenta",14,"Atlanta"
"Animalia","Arthropoda","Insecta","Limenitis astyanax",12,"Atlanta"
"Animalia","Arthropoda","Insecta","Megacopta cribraria",11,"Atlanta"
"Animalia","Arthropoda","Insecta","Neotibicen tibicen",14,"Atlanta"
"Animalia","Arthropoda","Insecta","Oncopeltus fasciatus",15,"Atlanta"
"Animalia","Arthropoda","Insecta","Pachydiplax longipennis",34,"Atlanta"
"Animalia","Arthropoda","Insecta","Papilio glaucus",134,"Atlanta"
"Animalia","Arthropoda","Insecta","Papilio polibetes",11,"Atlanta"
"Animalia","Arthropoda","Insecta","Phoebis sennae",34,"Atlanta"
"Animalia","Arthropoda","Insecta","Phyciodes tharos",16,"Atlanta"
"Animalia","Arthropoda","Insecta","Pieris rapae",15,"Atlanta"
"Animalia","Arthropoda","Insecta","Plathemis lydia",27,"Atlanta"
"Animalia","Arthropoda","Insecta","Prosapia bicincta",13,"Atlanta"
"Animalia","Arthropoda","Insecta","Solenopsis invicta",13,"Atlanta"
"Animalia","Arthropoda","Insecta","Sphecius speciosus",11,"Atlanta"
"Animalia","Arthropoda","Insecta","Toxomerus geminatus",31,"Atlanta"
"Animalia","Arthropoda","Insecta","Toxomerus marginatus",23,"Atlanta"
"Animalia","Arthropoda","Insecta","Urbanus proteus",42,"Atlanta"
"Animalia","Arthropoda","Insecta","Vanessa virginiensis",12,"Atlanta"
"Animalia","Arthropoda","Insecta","Vespula maculifrons",18,"Atlanta"
"Animalia","Arthropoda","Insecta","Xylocopa virginica",78,"Atlanta"
"Animalia","Arthropoda",NA,"Anasaitis canosa",36,"Atlanta"
"Animalia","Arthropoda",NA,"Argiope aurantia",42,"Atlanta"
"Animalia","Arthropoda",NA,"Gasteracantha cancriformis",25,"Atlanta"
"Animalia","Arthropoda",NA,"Lyssomanes viridis",19,"Atlanta"
"Animalia","Chordata","Amphibia","Ambystoma maculatum",13,"Atlanta"
"Animalia","Chordata","Amphibia","Ambystoma opacum",11,"Atlanta"
"Animalia","Chordata","Amphibia","Dryophytes chrysoscelis",37,"Atlanta"
"Animalia","Chordata","Amphibia","Dryophytes cinereus",28,"Atlanta"
"Animalia","Chordata","Amphibia","Eurycea cirrigera",17,"Atlanta"
"Animalia","Chordata","Amphibia","Lithobates catesbeianus",30,"Atlanta"
