"kingdom","phylum","class","species","nobs","city"
"Animalia","Arthropoda","Chilopoda","Scutigera coleoptrata",26,"Chicago"
"Animalia","Arthropoda","Insecta","Acanalonia conica",12,"Chicago"
"Animalia","Arthropoda","Insecta","Amphion floridensis",12,"Chicago"
"Animalia","Arthropoda","Insecta","Anax junius",36,"Chicago"
"Animalia","Arthropoda","Insecta","Ancyloxypha numitor",17,"Chicago"
"Animalia","Arthropoda","Insecta","Antheraea polyphemus",23,"Chicago"
"Animalia","Arthropoda","Insecta","Apis mellifera",86,"Chicago"
"Animalia","Arthropoda","Insecta","Argia apicalis",28,"Chicago"
"Animalia","Arthropoda","Insecta","Asterocampa celtis",20,"Chicago"
"Animalia","Arthropoda","Insecta","Atteva aurea",52,"Chicago"
"Animalia","Arthropoda","Insecta","Bombus bimaculatus",23,"Chicago"
"Animalia","Arthropoda","Insecta","Bombus fervidus",17,"Chicago"
"Animalia","Arthropoda","Insecta","Bombus griseocollis",41,"Chicago"
"Animalia","Arthropoda","Insecta","Bombus impatiens",85,"Chicago"
"Animalia","Arthropoda","Insecta","Camponotus pennsylvanicus",30,"Chicago"
"Animalia","Arthropoda","Insecta","Chauliognathus marginatus",15,"Chicago"
"Animalia","Arthropoda","Insecta","Chauliognathus pensylvanicus",26,"Chicago"
"Animalia","Arthropoda","Insecta","Cicindela repanda",13,"Chicago"
"Animalia","Arthropoda","Insecta","Colias eurytheme",28,"Chicago"
"Animalia","Arthropoda","Insecta","Colias philodice",26,"Chicago"
"Animalia","Arthropoda","Insecta","Cotinis nitida",21,"Chicago"
"Animalia","Arthropoda","Insecta","Cyaniris neglecta",22,"Chicago"
"Animalia","Arthropoda","Insecta","Danaus plexippus",160,"Chicago"
"Animalia","Arthropoda","Insecta","Delphinia picta",19,"Chicago"
"Animalia","Arthropoda","Insecta","Diabrotica undecimpunctata",20,"Chicago"
"Animalia","Arthropoda","Insecta","Dissosteira carolina",14,"Chicago"
"Animalia","Arthropoda","Insecta","Dolichovespula maculata",43,"Chicago"
"Animalia","Arthropoda","Insecta","Elkalyce comyntas",30,"Chicago"
"Animalia","Arthropoda","Insecta","Enallagma carunculatum",11,"Chicago"
"Animalia","Arthropoda","Insecta","Enallagma civile",17,"Chicago"
"Animalia","Arthropoda","Insecta","Enallagma exsulans",13,"Chicago"
"Animalia","Arthropoda","Insecta","Epargyreus clarus",32,"Chicago"
"Animalia","Arthropoda","Insecta","Eristalis dimidiata",20,"Chicago"
"Animalia","Arthropoda","Insecta","Eristalis transversa",30,"Chicago"
