"kingdom","phylum","class","species","nobs","city"
"Animalia","Arthropoda","Insecta","Abaeis nicippe",13,"El Paso"
"Animalia","Arthropoda","Insecta","Anthanassa texana",12,"El Paso"
"Animalia","Arthropoda","Insecta","Apis mellifera",191,"El Paso"
"Animalia","Arthropoda","Insecta","Asphondylia auripila",13,"El Paso"
"Animalia","Arthropoda","Insecta","Battus philenor",11,"El Paso"
"Animalia","Arthropoda","Insecta","Bombus sonorus",54,"El Paso"
"Animalia","Arthropoda","Insecta","Brephidium exilis",34,"El Paso"
"Animalia","Arthropoda","Insecta","Danaus gilippus",64,"El Paso"
"Animalia","Arthropoda","Insecta","Danaus plexippus",21,"El Paso"
"Animalia","Arthropoda","Insecta","Eusattus reticulatus",26,"El Paso"
"Animalia","Arthropoda","Insecta","Hippodamia convergens",34,"El Paso"
"Animalia","Arthropoda","Insecta","Hyles lineata",21,"El Paso"
"Animalia","Arthropoda","Insecta","Libellula saturata",14,"El Paso"
"Animalia","Arthropoda","Insecta","Lygaeus kalmii",49,"El Paso"
"Animalia","Arthropoda","Insecta","Nathalis iole",13,"El Paso"
"Animalia","Arthropoda","Insecta","Papilio multicaudata",27,"El Paso"
"Animalia","Arthropoda","Insecta","Papilio polibetes",16,"El Paso"
"Animalia","Arthropoda","Insecta","Periplaneta americana",15,"El Paso"
"Animalia","Arthropoda","Insecta","Pogonomyrmex rugosus",57,"El Paso"
"Animalia","Arthropoda","Insecta","Polistes exclamans",18,"El Paso"
"Animalia","Arthropoda","Insecta","Polistes flavus",12,"El Paso"
"Animalia","Arthropoda","Insecta","Pontia protodice",45,"El Paso"
"Animalia","Arthropoda","Insecta","Schistocerca nitens",13,"El Paso"
"Animalia","Arthropoda","Insecta","Sphex tepanecus",12,"El Paso"
"Animalia","Arthropoda","Insecta","Sympetrum corruptum",34,"El Paso"
"Animalia","Arthropoda","Insecta","Vanessa cardui",39,"El Paso"
"Animalia","Arthropoda","Insecta","Xylocopa sonorina",54,"El Paso"
"Animalia","Arthropoda","Malacostraca","Armadillidium vulgare",17,"El Paso"
"Animalia","Arthropoda",NA,"Aphonopelma hentzi",29,"El Paso"
"Animalia","Arthropoda",NA,"Menemerus semilimbatus",15,"El Paso"
"Animalia","Chordata","Amphibia","Anaxyrus punctatus",13,"El Paso"
"Animalia","Chordata","Amphibia","Lithobates catesbeianus",37,"El Paso"
"Animalia","Chordata","Aves","Accipiter cooperii",114,"El Paso"
"Animalia","Chordata","Aves","Accipiter striatus",73,"El Paso"
"Animalia","Chordata","Aves","Actitis macularius",46,"El Paso"
"Animalia","Chordata","Aves","Aeronautes saxatalis",47,"El Paso"
"Animalia","Chordata","Aves","Agelaius phoeniceus",141,"El Paso"
"Animalia","Chordata","Aves","Aimophila ruficeps",27,"El Paso"
"Animalia","Chordata","Aves","Aix sponsa",70,"El Paso"
"Animalia","Chordata","Aves","Amazona finschi",31,"El Paso"
"Animalia","Chordata","Aves","Amphispiza bilineata",88,"El Paso"
"Animalia","Chordata","Aves","Anas acuta",31,"El Paso"
"Animalia","Chordata","Aves","Anas americana",131,"El Paso"
"Animalia","Chordata","Aves","Anas clypeata",114,"El Paso"
"Animalia","Chordata","Aves","Anas crecca",68,"El Paso"
"Animalia","Chordata","Aves","Anas cyanoptera",45,"El Paso"
"Animalia","Chordata","Aves","Anas discors",32,"El Paso"
"Animalia","Chordata","Aves","Anas platyrhynchos",210,"El Paso"
"Animalia","Chordata","Aves","Anas strepera",66,"El Paso"
"Animalia","Chordata","Aves","Anser anser",13,"El Paso"
"Animalia","Chordata","Aves","Anser cygnoides",16,"El Paso"
"Animalia","Chordata","Aves","Anthus rubescens",27,"El Paso"
"Animalia","Chordata","Aves","Aphelocoma woodhouseii",69,"El Paso"
"Animalia","Chordata","Aves","Aquila chrysaetos",11,"El Paso"
"Animalia","Chordata","Aves","Archilochus alexandri",181,"El Paso"
"Animalia","Chordata","Aves","Ardea alba",103,"El Paso"
"Animalia","Chordata","Aves","Ardea herodias",125,"El Paso"
"Animalia","Chordata","Aves","Athene cunicularia",89,"El Paso"
"Animalia","Chordata","Aves","Auriparus flaviceps",204,"El Paso"
"Animalia","Chordata","Aves","Aythya affinis",60,"El Paso"
"Animalia","Chordata","Aves","Aythya americana",40,"El Paso"
"Animalia","Chordata","Aves","Aythya collaris",71,"El Paso"
"Animalia","Chordata","Aves","Aythya marila",12,"El Paso"
"Animalia","Chordata","Aves","Aythya valisineria",20,"El Paso"
"Animalia","Chordata","Aves","Bombycilla cedrorum",47,"El Paso"
"Animalia","Chordata","Aves","Branta canadensis",67,"El Paso"
"Animalia","Chordata","Aves","Bubo virginianus",35,"El Paso"
"Animalia","Chordata","Aves","Bubulcus ibis",25,"El Paso"
"Animalia","Chordata","Aves","Bucephala albeola",71,"El Paso"
"Animalia","Chordata","Aves","Buteo jamaicensis",190,"El Paso"
"Animalia","Chordata","Aves","Buteo swainsoni",132,"El Paso"
"Animalia","Chordata","Aves","Butorides virescens",55,"El Paso"
"Animalia","Chordata","Aves","Cairina moschata",14,"El Paso"
"Animalia","Chordata","Aves","Calamospiza melanocorys",36,"El Paso"
"Animalia","Chordata","Aves","Calidris minutilla",35,"El Paso"
"Animalia","Chordata","Aves","Callipepla gambelii",158,"El Paso"
"Animalia","Chordata","Aves","Callipepla squamata",43,"El Paso"
"Animalia","Chordata","Aves","Calypte anna",34,"El Paso"
"Animalia","Chordata","Aves","Campylorhynchus brunneicapillus",94,"El Paso"
"Animalia","Chordata","Aves","Cardellina pusilla",111,"El Paso"
"Animalia","Chordata","Aves","Cardinalis cardinalis",11,"El Paso"
"Animalia","Chordata","Aves","Cardinalis sinuatus",105,"El Paso"
"Animalia","Chordata","Aves","Cathartes aura",170,"El Paso"
"Animalia","Chordata","Aves","Catharus guttatus",34,"El Paso"
"Animalia","Chordata","Aves","Charadrius vociferus",136,"El Paso"
"Animalia","Chordata","Aves","Chen caerulescens",25,"El Paso"
"Animalia","Chordata","Aves","Chen rossii",15,"El Paso"
"Animalia","Chordata","Aves","Chondestes grammacus",36,"El Paso"
"Animalia","Chordata","Aves","Chordeiles acutipennis",17,"El Paso"
"Animalia","Chordata","Aves","Circus cyaneus",46,"El Paso"
"Animalia","Chordata","Aves","Cistothorus palustris",32,"El Paso"
"Animalia","Chordata","Aves","Colaptes auratus",134,"El Paso"
"Animalia","Chordata","Aves","Columba livia",545,"El Paso"
"Animalia","Chordata","Aves","Columbina inca",128,"El Paso"
