"kingdom","phylum","class","species","nobs","city"
"Animalia","Arthropoda","Insecta","Abaeis nicippe",13,"Fort Worth"
"Animalia","Arthropoda","Insecta","Acanthocephala declivis",16,"Fort Worth"
"Animalia","Arthropoda","Insecta","Acanthocephala terminalis",64,"Fort Worth"
"Animalia","Arthropoda","Insecta","Achyra rantalis",17,"Fort Worth"
"Animalia","Arthropoda","Insecta","Acmaeodera neglecta",38,"Fort Worth"
"Animalia","Arthropoda","Insecta","Acmaeodera ornatoides",15,"Fort Worth"
"Animalia","Arthropoda","Insecta","Acontia candefacta",11,"Fort Worth"
"Animalia","Arthropoda","Insecta","Acrolophus popeanella",12,"Fort Worth"
"Animalia","Arthropoda","Insecta","Agraulis vanillae",91,"Fort Worth"
"Animalia","Arthropoda","Insecta","Allograpta obliqua",13,"Fort Worth"
"Animalia","Arthropoda","Insecta","Alypia octomaculata",13,"Fort Worth"
"Animalia","Arthropoda","Insecta","Amorpha juglandis",22,"Fort Worth"
"Animalia","Arthropoda","Insecta","Anacamptodes defectaria",14,"Fort Worth"
"Animalia","Arthropoda","Insecta","Anaea andria",39,"Fort Worth"
"Animalia","Arthropoda","Insecta","Anax junius",126,"Fort Worth"
"Animalia","Arthropoda","Insecta","Andricus quercusfoliatus",21,"Fort Worth"
"Animalia","Arthropoda","Insecta","Anicla infecta",25,"Fort Worth"
"Animalia","Arthropoda","Insecta","Antheraea polyphemus",18,"Fort Worth"
"Animalia","Arthropoda","Insecta","Anthrenus verbasci",18,"Fort Worth"
"Animalia","Arthropoda","Insecta","Apiomerus spissipes",15,"Fort Worth"
"Animalia","Arthropoda","Insecta","Apis mellifera",386,"Fort Worth"
"Animalia","Arthropoda","Insecta","Archilestes grandis",21,"Fort Worth"
"Animalia","Arthropoda","Insecta","Archips argyrospila",24,"Fort Worth"
"Animalia","Arthropoda","Insecta","Argia apicalis",55,"Fort Worth"
"Animalia","Arthropoda","Insecta","Argia immunda",20,"Fort Worth"
"Animalia","Arthropoda","Insecta","Argia moesta",74,"Fort Worth"
"Animalia","Arthropoda","Insecta","Argia nahuana",29,"Fort Worth"
"Animalia","Arthropoda","Insecta","Argia plana",11,"Fort Worth"
"Animalia","Arthropoda","Insecta","Argia sedula",64,"Fort Worth"
"Animalia","Arthropoda","Insecta","Argia translata",30,"Fort Worth"
"Animalia","Arthropoda","Insecta","Arilus cristatus",92,"Fort Worth"
"Animalia","Arthropoda","Insecta","Asterocampa celtis",88,"Fort Worth"
"Animalia","Arthropoda","Insecta","Asterocampa clyton",60,"Fort Worth"
"Animalia","Arthropoda","Insecta","Atalantycha bilineata",12,"Fort Worth"
"Animalia","Arthropoda","Insecta","Atalopedes campestris",45,"Fort Worth"
"Animalia","Arthropoda","Insecta","Atteva aurea",20,"Fort Worth"
"Animalia","Arthropoda","Insecta","Automeris io",12,"Fort Worth"
"Animalia","Arthropoda","Insecta","Battus philenor",58,"Fort Worth"
"Animalia","Arthropoda","Insecta","Boisea trivittata",11,"Fort Worth"
"Animalia","Arthropoda","Insecta","Bombus pensylvanicus",94,"Fort Worth"
"Animalia","Arthropoda","Insecta","Brachymesia gravida",81,"Fort Worth"
"Animalia","Arthropoda","Insecta","Caenurgina erechtea",48,"Fort Worth"
"Animalia","Arthropoda","Insecta","Calycopis cecrops",19,"Fort Worth"
"Animalia","Arthropoda","Insecta","Camponotus pennsylvanicus",16,"Fort Worth"
"Animalia","Arthropoda","Insecta","Catocala maestosa",23,"Fort Worth"
"Animalia","Arthropoda","Insecta","Celithemis eponina",70,"Fort Worth"
"Animalia","Arthropoda","Insecta","Chinavia hilaris",38,"Fort Worth"
"Animalia","Arthropoda","Insecta","Chlosyne lacinia",12,"Fort Worth"
"Animalia","Arthropoda","Insecta","Chortophaga viridifasciata",86,"Fort Worth"
"Animalia","Arthropoda","Insecta","Cicindela scutellaris",11,"Fort Worth"
"Animalia","Arthropoda","Insecta","Cicindela sexguttata",93,"Fort Worth"
"Animalia","Arthropoda","Insecta","Cimbex americana",16,"Fort Worth"
"Animalia","Arthropoda","Insecta","Clepsis peritana",12,"Fort Worth"
"Animalia","Arthropoda","Insecta","Clepsis virescana",15,"Fort Worth"
"Animalia","Arthropoda","Insecta","Coccinella septempunctata",268,"Fort Worth"
"Animalia","Arthropoda","Insecta","Colias eurytheme",134,"Fort Worth"
"Animalia","Arthropoda","Insecta","Costaconvexa centrostrigaria",20,"Fort Worth"
"Animalia","Arthropoda","Insecta","Crematogaster laeviuscula",15,"Fort Worth"
"Animalia","Arthropoda","Insecta","Cuerna costalis",24,"Fort Worth"
"Animalia","Arthropoda","Insecta","Cydia latiferreana",15,"Fort Worth"
"Animalia","Arthropoda","Insecta","Danaus gilippus",30,"Fort Worth"
"Animalia","Arthropoda","Insecta","Danaus plexippus",196,"Fort Worth"
"Animalia","Arthropoda","Insecta","Dasymutilla occidentalis",13,"Fort Worth"
"Animalia","Arthropoda","Insecta","Delphinia picta",36,"Fort Worth"
"Animalia","Arthropoda","Insecta","Diabrotica undecimpunctata",113,"Fort Worth"
"Animalia","Arthropoda","Insecta","Diastictis fracturalis",15,"Fort Worth"
"Animalia","Arthropoda","Insecta","Dichromorpha viridis",23,"Fort Worth"
"Animalia","Arthropoda","Insecta","Dorcaschema alternatum",12,"Fort Worth"
"Animalia","Arthropoda","Insecta","Dythemis fugax",17,"Fort Worth"
"Animalia","Arthropoda","Insecta","Dythemis velox",54,"Fort Worth"
"Animalia","Arthropoda","Insecta","Echinargus isola",49,"Fort Worth"
"Animalia","Arthropoda","Insecta","Elaphria festivoides",13,"Fort Worth"
"Animalia","Arthropoda","Insecta","Elkalyce comyntas",13,"Fort Worth"
"Animalia","Arthropoda","Insecta","Enallagma basidens",65,"Fort Worth"
"Animalia","Arthropoda","Insecta","Enallagma civile",102,"Fort Worth"
"Animalia","Arthropoda","Insecta","Enallagma exsulans",18,"Fort Worth"
"Animalia","Arthropoda","Insecta","Enallagma signatum",39,"Fort Worth"
"Animalia","Arthropoda","Insecta","Epargyreus clarus",16,"Fort Worth"
"Animalia","Arthropoda","Insecta","Epiaeschna heros",11,"Fort Worth"
"Animalia","Arthropoda","Insecta","Epitheca petechialis",31,"Fort Worth"
"Animalia","Arthropoda","Insecta","Epitheca princeps",17,"Fort Worth"
"Animalia","Arthropoda","Insecta","Eristalis stipator",33,"Fort Worth"
"Animalia","Arthropoda","Insecta","Erynnis funeralis",18,"Fort Worth"
"Animalia","Arthropoda","Insecta","Erynnis horatius",12,"Fort Worth"
"Animalia","Arthropoda","Insecta","Erynnis juvenalis",11,"Fort Worth"
"Animalia","Arthropoda","Insecta","Erythemis simplicicollis",384,"Fort Worth"
"Animalia","Arthropoda","Insecta","Erythemis vesiculosa",18,"Fort Worth"
"Animalia","Arthropoda","Insecta","Estigmene acrea",39,"Fort Worth"
"Animalia","Arthropoda","Insecta","Euodynerus foraminatus",12,"Fort Worth"
"Animalia","Arthropoda","Insecta","Euphoria kernii",56,"Fort Worth"
