"kingdom","phylum","class","species","nobs","city"
"Animalia","Annelida","Clitellata","Lumbricus terrestris",11,"Montréal"
"Animalia","Arthropoda","Chilopoda","Scutigera coleoptrata",20,"Montréal"
"Animalia","Arthropoda","Insecta","Agapostemon virescens",19,"Montréal"
"Animalia","Arthropoda","Insecta","Agrilus planipennis",12,"Montréal"
"Animalia","Arthropoda","Insecta","Alypia octomaculata",12,"Montréal"
"Animalia","Arthropoda","Insecta","Anthidium florentinum",17,"Montréal"
"Animalia","Arthropoda","Insecta","Apis mellifera",98,"Montréal"
"Animalia","Arthropoda","Insecta","Bombus griseocollis",37,"Montréal"
"Animalia","Arthropoda","Insecta","Bombus impatiens",110,"Montréal"
"Animalia","Arthropoda","Insecta","Bombus rufocinctus",16,"Montréal"
"Animalia","Arthropoda","Insecta","Camponotus pennsylvanicus",30,"Montréal"
"Animalia","Arthropoda","Insecta","Carabus nemoralis",11,"Montréal"
"Animalia","Arthropoda","Insecta","Chauliognathus pensylvanicus",17,"Montréal"
"Animalia","Arthropoda","Insecta","Chinavia hilaris",13,"Montréal"
"Animalia","Arthropoda","Insecta","Cicindela sexguttata",13,"Montréal"
"Animalia","Arthropoda","Insecta","Coccinella septempunctata",28,"Montréal"
"Animalia","Arthropoda","Insecta","Coleomegilla maculata",13,"Montréal"
"Animalia","Arthropoda","Insecta","Colias philodice",17,"Montréal"
"Animalia","Arthropoda","Insecta","Danaus plexippus",51,"Montréal"
"Animalia","Arthropoda","Insecta","Diabrotica undecimpunctata",15,"Montréal"
"Animalia","Arthropoda","Insecta","Dissosteira carolina",32,"Montréal"
"Animalia","Arthropoda","Insecta","Dolichovespula arenaria",19,"Montréal"
"Animalia","Arthropoda","Insecta","Dolichovespula maculata",24,"Montréal"
"Animalia","Arthropoda","Insecta","Ellychnia corrusca",13,"Montréal"
"Animalia","Arthropoda","Insecta","Epargyreus clarus",22,"Montréal"
"Animalia","Arthropoda","Insecta","Euchaetes egle",18,"Montréal"
"Animalia","Arthropoda","Insecta","Eumenes fraternus",17,"Montréal"
"Animalia","Arthropoda","Insecta","Eurosta solidaginis",12,"Montréal"
"Animalia","Arthropoda","Insecta","Gryllus pennsylvanicus",15,"Montréal"
"Animalia","Arthropoda","Insecta","Halyomorpha halys",16,"Montréal"
"Animalia","Arthropoda","Insecta","Harmonia axyridis",123,"Montréal"
"Animalia","Arthropoda","Insecta","Harrisina americana",12,"Montréal"
"Animalia","Arthropoda","Insecta","Hippodamia variegata",14,"Montréal"
"Animalia","Arthropoda","Insecta","Hyphantria cunea",14,"Montréal"
"Animalia","Arthropoda","Insecta","Ischnura verticalis",18,"Montréal"
"Animalia","Arthropoda","Insecta","Istocheta aldrichi",24,"Montréal"
"Animalia","Arthropoda","Insecta","Labidomera clivicollis",33,"Montréal"
"Animalia","Arthropoda","Insecta","Leptoglossus occidentalis",27,"Montréal"
"Animalia","Arthropoda","Insecta","Leucorrhinia intacta",13,"Montréal"
"Animalia","Arthropoda","Insecta","Lygaeus kalmii",55,"Montréal"
"Animalia","Arthropoda","Insecta","Lymantria dispar",88,"Montréal"
"Animalia","Arthropoda","Insecta","Macrostemum zebratum",17,"Montréal"
"Animalia","Arthropoda","Insecta","Mantis religiosa",15,"Montréal"
"Animalia","Arthropoda","Insecta","Megacyllene robiniae",29,"Montréal"
