"kingdom","phylum","class","species","nobs","city"
"Animalia","Arthropoda","Chilopoda","Scutigera coleoptrata",11,"Portland"
"Animalia","Arthropoda","Diplopoda","Harpaphe haydeniana",11,"Portland"
"Animalia","Arthropoda","Insecta","Anax junius",23,"Portland"
"Animalia","Arthropoda","Insecta","Andricus quercuscalifornicus",17,"Portland"
"Animalia","Arthropoda","Insecta","Apis mellifera",104,"Portland"
"Animalia","Arthropoda","Insecta","Archilestes californicus",11,"Portland"
"Animalia","Arthropoda","Insecta","Argia vivida",22,"Portland"
"Animalia","Arthropoda","Insecta","Boisea rubrolineata",37,"Portland"
"Animalia","Arthropoda","Insecta","Bombus melanopygus",54,"Portland"
"Animalia","Arthropoda","Insecta","Bombus mixtus",12,"Portland"
"Animalia","Arthropoda","Insecta","Bombus vosnesenskii",33,"Portland"
"Animalia","Arthropoda","Insecta","Carabus nemoralis",11,"Portland"
"Animalia","Arthropoda","Insecta","Coccinella septempunctata",30,"Portland"
"Animalia","Arthropoda","Insecta","Diabrotica undecimpunctata",11,"Portland"
"Animalia","Arthropoda","Insecta","Enallagma carunculatum",28,"Portland"
"Animalia","Arthropoda","Insecta","Eristalis arbustorum",18,"Portland"
"Animalia","Arthropoda","Insecta","Erythemis collocata",24,"Portland"
"Animalia","Arthropoda","Insecta","Halyomorpha halys",25,"Portland"
"Animalia","Arthropoda","Insecta","Harmonia axyridis",49,"Portland"
"Animalia","Arthropoda","Insecta","Ischnura cervula",41,"Portland"
"Animalia","Arthropoda","Insecta","Leptoglossus occidentalis",18,"Portland"
"Animalia","Arthropoda","Insecta","Libellula forensis",37,"Portland"
"Animalia","Arthropoda","Insecta","Libellula luctuosa",16,"Portland"
"Animalia","Arthropoda","Insecta","Libellula saturata",21,"Portland"
"Animalia","Arthropoda","Insecta","Limenitis lorquini",15,"Portland"
"Animalia","Arthropoda","Insecta","Mallota florea",26,"Portland"
"Animalia","Arthropoda","Insecta","Mantis religiosa",12,"Portland"
"Animalia","Arthropoda","Insecta","Merodon equestris",15,"Portland"
"Animalia","Arthropoda","Insecta","Noctua pronuba",18,"Portland"
"Animalia","Arthropoda","Insecta","Ocypus olens",15,"Portland"
"Animalia","Arthropoda","Insecta","Pachydiplax longipennis",35,"Portland"
"Animalia","Arthropoda","Insecta","Papilio rutulus",30,"Portland"
"Animalia","Arthropoda","Insecta","Pieris rapae",41,"Portland"
"Animalia","Arthropoda","Insecta","Plathemis lydia",51,"Portland"
"Animalia","Arthropoda","Insecta","Polistes dominula",22,"Portland"
"Animalia","Arthropoda","Insecta","Polyphylla decemlineata",11,"Portland"
"Animalia","Arthropoda","Insecta","Psyllobora vigintimaculata",13,"Portland"
"Animalia","Arthropoda","Insecta","Pyrrharctia isabella",40,"Portland"
"Animalia","Arthropoda","Insecta","Rhionaeschna californica",21,"Portland"
"Animalia","Arthropoda","Insecta","Rhionaeschna multicolor",34,"Portland"
"Animalia","Arthropoda","Insecta","Strymon melinus",17,"Portland"
"Animalia","Arthropoda","Insecta","Stylurus olivaceus",18,"Portland"
"Animalia","Arthropoda","Insecta","Sympetrum corruptum",14,"Portland"
"Animalia","Arthropoda","Insecta","Sympetrum illotum",38,"Portland"
"Animalia","Arthropoda","Insecta","Syrphus opinator",11,"Portland"
"Animalia","Arthropoda","Insecta","Toxomerus occidentalis",11,"Portland"
"Animalia","Arthropoda","Insecta","Tyria jacobaeae",28,"Portland"
"Animalia","Arthropoda","Insecta","Vanessa cardui",16,"Portland"
"Animalia","Arthropoda","Insecta","Zelus renardii",11,"Portland"
"Animalia","Arthropoda","Malacostraca","Armadillidium vulgare",16,"Portland"
"Animalia","Arthropoda",NA,"Araneus diadematus",153,"Portland"
"Animalia","Arthropoda",NA,"Dysdera crocata",12,"Portland"
"Animalia","Arthropoda",NA,"Eratigena duellica",27,"Portland"
"Animalia","Arthropoda",NA,"Phalangium opilio",12,"Portland"
"Animalia","Arthropoda",NA,"Phidippus audax",56,"Portland"
"Animalia","Arthropoda",NA,"Salticus scenicus",31,"Portland"
"Animalia","Chordata","Amphibia","Ambystoma macrodactylum",15,"Portland"
"Animalia","Chordata","Amphibia","Dicamptodon tenebrosus",11,"Portland"
"Animalia","Chordata","Amphibia","Ensatina eschscholtzii",27,"Portland"
"Animalia","Chordata","Amphibia","Lithobates catesbeianus",29,"Portland"
"Animalia","Chordata","Amphibia","Plethodon vehiculum",20,"Portland"
"Animalia","Chordata","Amphibia","Pseudacris regilla",82,"Portland"
"Animalia","Chordata","Amphibia","Rana aurora",20,"Portland"
"Animalia","Chordata","Amphibia","Taricha granulosa",22,"Portland"
"Animalia","Chordata","Aves","Accipiter cooperii",144,"Portland"
"Animalia","Chordata","Aves","Accipiter striatus",70,"Portland"
"Animalia","Chordata","Aves","Actitis macularius",18,"Portland"
"Animalia","Chordata","Aves","Aechmophorus occidentalis",31,"Portland"
"Animalia","Chordata","Aves","Agelaius phoeniceus",272,"Portland"
"Animalia","Chordata","Aves","Aix sponsa",102,"Portland"
"Animalia","Chordata","Aves","Anas acuta",92,"Portland"
"Animalia","Chordata","Aves","Anas americana",197,"Portland"
"Animalia","Chordata","Aves","Anas clypeata",141,"Portland"
"Animalia","Chordata","Aves","Anas crecca",181,"Portland"
"Animalia","Chordata","Aves","Anas cyanoptera",23,"Portland"
"Animalia","Chordata","Aves","Anas penelope",34,"Portland"
"Animalia","Chordata","Aves","Anas platyrhynchos",536,"Portland"
"Animalia","Chordata","Aves","Anas strepera",194,"Portland"
"Animalia","Chordata","Aves","Anser albifrons",20,"Portland"
"Animalia","Chordata","Aves","Anthus rubescens",27,"Portland"
"Animalia","Chordata","Aves","Aphelocoma californica",644,"Portland"
"Animalia","Chordata","Aves","Ardea alba",156,"Portland"
"Animalia","Chordata","Aves","Ardea herodias",314,"Portland"
"Animalia","Chordata","Aves","Aythya affinis",93,"Portland"
"Animalia","Chordata","Aves","Aythya americana",16,"Portland"
"Animalia","Chordata","Aves","Aythya collaris",145,"Portland"
"Animalia","Chordata","Aves","Aythya marila",36,"Portland"
"Animalia","Chordata","Aves","Aythya valisineria",27,"Portland"
"Animalia","Chordata","Aves","Bombycilla cedrorum",98,"Portland"
"Animalia","Chordata","Aves","Branta canadensis",462,"Portland"
"Animalia","Chordata","Aves","Branta hutchinsii",361,"Portland"
"Animalia","Chordata","Aves","Bubo virginianus",55,"Portland"
"Animalia","Chordata","Aves","Bucephala albeola",174,"Portland"
"Animalia","Chordata","Aves","Bucephala clangula",57,"Portland"
"Animalia","Chordata","Aves","Bucephala islandica",21,"Portland"
"Animalia","Chordata","Aves","Buteo jamaicensis",441,"Portland"
"Animalia","Chordata","Aves","Buteo lagopus",12,"Portland"
"Animalia","Chordata","Aves","Buteo lineatus",24,"Portland"
"Animalia","Chordata","Aves","Butorides virescens",42,"Portland"
"Animalia","Chordata","Aves","Calidris minutilla",13,"Portland"
"Animalia","Chordata","Aves","Callipepla californica",19,"Portland"
"Animalia","Chordata","Aves","Calypte anna",763,"Portland"
"Animalia","Chordata","Aves","Cathartes aura",25,"Portland"
"Animalia","Chordata","Aves","Catharus guttatus",114,"Portland"
"Animalia","Chordata","Aves","Certhia americana",247,"Portland"
"Animalia","Chordata","Aves","Chaetura vauxi",13,"Portland"
"Animalia","Chordata","Aves","Charadrius vociferus",115,"Portland"
"Animalia","Chordata","Aves","Chen caerulescens",30,"Portland"
"Animalia","Chordata","Aves","Cinclus mexicanus",14,"Portland"
"Animalia","Chordata","Aves","Circus cyaneus",53,"Portland"
"Animalia","Chordata","Aves","Cistothorus palustris",34,"Portland"
"Animalia","Chordata","Aves","Colaptes auratus",651,"Portland"
"Animalia","Chordata","Aves","Columba livia",282,"Portland"
"Animalia","Chordata","Aves","Contopus sordidulus",13,"Portland"
"Animalia","Chordata","Aves","Corvus brachyrhynchos",1050,"Portland"
"Animalia","Chordata","Aves","Corvus corax",71,"Portland"
"Animalia","Chordata","Aves","Cyanocitta stelleri",377,"Portland"
"Animalia","Chordata","Aves","Cygnus buccinator",14,"Portland"
"Animalia","Chordata","Aves","Cygnus columbianus",29,"Portland"
"Animalia","Chordata","Aves","Dryobates villosus",106,"Portland"
"Animalia","Chordata","Aves","Dryocopus pileatus",78,"Portland"
"Animalia","Chordata","Aves","Euphagus cyanocephalus",105,"Portland"
"Animalia","Chordata","Aves","Falco columbarius",70,"Portland"
"Animalia","Chordata","Aves","Falco peregrinus",68,"Portland"
"Animalia","Chordata","Aves","Falco sparverius",142,"Portland"
"Animalia","Chordata","Aves","Fulica americana",140,"Portland"
"Animalia","Chordata","Aves","Gallinago delicata",32,"Portland"
"Animalia","Chordata","Aves","Geothlypis trichas",15,"Portland"
"Animalia","Chordata","Aves","Glaucidium gnoma",14,"Portland"
"Animalia","Chordata","Aves","Grus canadensis",76,"Portland"
"Animalia","Chordata","Aves","Haemorhous mexicanus",595,"Portland"
"Animalia","Chordata","Aves","Haemorhous purpureus",31,"Portland"
"Animalia","Chordata","Aves","Haliaeetus leucocephalus",289,"Portland"
"Animalia","Chordata","Aves","Hirundo rustica",34,"Portland"
"Animalia","Chordata","Aves","Ixoreus naevius",281,"Portland"
"Animalia","Chordata","Aves","Junco hyemalis",938,"Portland"
"Animalia","Chordata","Aves","Lanius borealis",11,"Portland"
"Animalia","Chordata","Aves","Larus argentatus",75,"Portland"
"Animalia","Chordata","Aves","Larus californicus",99,"Portland"
"Animalia","Chordata","Aves","Larus canus",67,"Portland"
"Animalia","Chordata","Aves","Larus delawarensis",73,"Portland"
"Animalia","Chordata","Aves","Larus glaucescens",307,"Portland"
"Animalia","Chordata","Aves","Larus glaucoides",62,"Portland"
"Animalia","Chordata","Aves","Larus occidentalis",50,"Portland"
"Animalia","Chordata","Aves","Leiothlypis celata",21,"Portland"
"Animalia","Chordata","Aves","Lophodytes cucullatus",180,"Portland"
"Animalia","Chordata","Aves","Megaceryle alcyon",134,"Portland"
"Animalia","Chordata","Aves","Megascops kennicottii",35,"Portland"
"Animalia","Chordata","Aves","Melanitta perspicillata",12,"Portland"
"Animalia","Chordata","Aves","Melospiza georgiana",11,"Portland"
"Animalia","Chordata","Aves","Melospiza lincolnii",51,"Portland"
"Animalia","Chordata","Aves","Melospiza melodia",947,"Portland"
"Animalia","Chordata","Aves","Mergus merganser",169,"Portland"
"Animalia","Chordata","Aves","Molothrus ater",33,"Portland"
"Animalia","Chordata","Aves","Oxyura jamaicensis",40,"Portland"
"Animalia","Chordata","Aves","Pandion haliaetus",23,"Portland"
"Animalia","Chordata","Aves","Passer domesticus",237,"Portland"
"Animalia","Chordata","Aves","Passerculus sandwichensis",27,"Portland"
"Animalia","Chordata","Aves","Passerella iliaca",190,"Portland"
"Animalia","Chordata","Aves","Passerina amoena",14,"Portland"
"Animalia","Chordata","Aves","Patagioenas fasciata",12,"Portland"
"Animalia","Chordata","Aves","Pelecanus erythrorhynchos",17,"Portland"
"Animalia","Chordata","Aves","Phalacrocorax auritus",226,"Portland"
"Animalia","Chordata","Aves","Pheucticus melanocephalus",35,"Portland"
"Animalia","Chordata","Aves","Picoides pubescens",403,"Portland"
"Animalia","Chordata","Aves","Pipilo maculatus",566,"Portland"
"Animalia","Chordata","Aves","Piranga ludoviciana",15,"Portland"
"Animalia","Chordata","Aves","Podiceps auritus",31,"Portland"
"Animalia","Chordata","Aves","Podiceps grisegena",11,"Portland"
"Animalia","Chordata","Aves","Podilymbus podiceps",157,"Portland"
"Animalia","Chordata","Aves","Poecile atricapillus",775,"Portland"
"Animalia","Chordata","Aves","Poecile rufescens",260,"Portland"
"Animalia","Chordata","Aves","Psaltriparus minimus",412,"Portland"
"Animalia","Chordata","Aves","Rallus limicola",15,"Portland"
"Animalia","Chordata","Aves","Regulus calendula",379,"Portland"
"Animalia","Chordata","Aves","Regulus satrapa",242,"Portland"
"Animalia","Chordata","Aves","Sayornis nigricans",30,"Portland"
"Animalia","Chordata","Aves","Setophaga auduboni",15,"Portland"
"Animalia","Chordata","Aves","Setophaga coronata",249,"Portland"
"Animalia","Chordata","Aves","Setophaga petechia",11,"Portland"
"Animalia","Chordata","Aves","Setophaga townsendi",103,"Portland"
"Animalia","Chordata","Aves","Sialia mexicana",16,"Portland"
"Animalia","Chordata","Aves","Sialia sialis",15,"Portland"
"Animalia","Chordata","Aves","Sitta canadensis",384,"Portland"
"Animalia","Chordata","Aves","Sitta carolinensis",151,"Portland"
"Animalia","Chordata","Aves","Sphyrapicus ruber",200,"Portland"
"Animalia","Chordata","Aves","Spinus pinus",134,"Portland"
"Animalia","Chordata","Aves","Spinus psaltria",439,"Portland"
"Animalia","Chordata","Aves","Spinus tristis",286,"Portland"
"Animalia","Chordata","Aves","Streptopelia decaocto",106,"Portland"
"Animalia","Chordata","Aves","Strix varia",81,"Portland"
"Animalia","Chordata","Aves","Sturnella neglecta",30,"Portland"
"Animalia","Chordata","Aves","Sturnus vulgaris",582,"Portland"
"Animalia","Chordata","Aves","Tachycineta bicolor",31,"Portland"
"Animalia","Chordata","Aves","Tachycineta thalassina",18,"Portland"
"Animalia","Chordata","Aves","Thryomanes bewickii",439,"Portland"
"Animalia","Chordata","Aves","Tringa melanoleuca",31,"Portland"
"Animalia","Chordata","Aves","Troglodytes pacificus",147,"Portland"
"Animalia","Chordata","Aves","Turdus migratorius",905,"Portland"
"Animalia","Chordata","Aves","Vireo huttoni",52,"Portland"
"Animalia","Chordata","Aves","Zenaida macroura",224,"Portland"
"Animalia","Chordata","Aves","Zonotrichia albicollis",66,"Portland"
"Animalia","Chordata","Aves","Zonotrichia atricapilla",411,"Portland"
"Animalia","Chordata","Aves","Zonotrichia leucophrys",154,"Portland"
"Animalia","Chordata","Mammalia","Canis latrans",24,"Portland"
"Animalia","Chordata","Mammalia","Castor canadensis",22,"Portland"
"Animalia","Chordata","Mammalia","Myocastor coypus",55,"Portland"
"Animalia","Chordata","Mammalia","Odocoileus hemionus",68,"Portland"
"Animalia","Chordata","Mammalia","Otospermophilus beecheyi",16,"Portland"
"Animalia","Chordata","Mammalia","Procyon lotor",22,"Portland"
"Animalia","Chordata","Mammalia","Sciurus carolinensis",108,"Portland"
"Animalia","Chordata","Mammalia","Sciurus niger",43,"Portland"
"Animalia","Chordata","Mammalia","Sylvilagus floridanus",13,"Portland"
"Animalia","Chordata","Mammalia","Tamias townsendii",24,"Portland"
"Animalia","Chordata","Mammalia","Tamiasciurus douglasii",18,"Portland"
"Animalia","Chordata","Reptilia","Chrysemys picta",17,"Portland"
"Animalia","Chordata","Reptilia","Thamnophis ordinoides",52,"Portland"
"Animalia","Chordata","Reptilia","Thamnophis sirtalis",24,"Portland"
"Animalia","Chordata","Reptilia","Trachemys scripta",14,"Portland"
"Animalia","Mollusca","Gastropoda","Ariolimax columbianus",97,"Portland"
"Animalia","Mollusca","Gastropoda","Arion rufus",18,"Portland"
"Animalia","Mollusca","Gastropoda","Cornu aspersum",45,"Portland"
"Animalia","Mollusca","Gastropoda","Limax maximus",27,"Portland"
"Animalia","Mollusca","Gastropoda","Monadenia fidelis",37,"Portland"
"Bacteria","Cyanobacteria","Cyanobacteriia","Woronichinia naegeliana",13,"Portland"
"Fungi","Ascomycota","Lecanoromycetes","Evernia prunastri",42,"Portland"
"Fungi","Ascomycota","Pezizomycetes","Sarcoscypha coccinea",14,"Portland"
"Fungi","Ascomycota","Sordariomycetes","Xylaria hypoxylon",23,"Portland"
"Fungi","Basidiomycota","Agaricomycetes","Amanita muscaria",42,"Portland"
"Fungi","Basidiomycota","Agaricomycetes","Clavulina rugosa",12,"Portland"
"Fungi","Basidiomycota","Agaricomycetes","Coprinus comatus",16,"Portland"
"Fungi","Basidiomycota","Agaricomycetes","Cyathus striatus",18,"Portland"
"Fungi","Basidiomycota","Agaricomycetes","Fomitopsis mounceae",16,"Portland"
"Fungi","Basidiomycota","Agaricomycetes","Ganoderma applanatum",13,"Portland"
"Fungi","Basidiomycota","Agaricomycetes","Hohenbuehelia serotina",16,"Portland"
"Fungi","Basidiomycota","Agaricomycetes","Hypholoma fasciculare",20,"Portland"
"Fungi","Basidiomycota","Agaricomycetes","Lepista nuda",13,"Portland"
