"kingdom","phylum","class","species","nobs","city"
"Animalia","Arthropoda","Insecta","Abaeis nicippe",14,"Tucson"
"Animalia","Arthropoda","Insecta","Acromyrmex versicolor",15,"Tucson"
"Animalia","Arthropoda","Insecta","Agraulis vanillae",13,"Tucson"
"Animalia","Arthropoda","Insecta","Anax junius",13,"Tucson"
"Animalia","Arthropoda","Insecta","Anthanassa texana",22,"Tucson"
"Animalia","Arthropoda","Insecta","Apis mellifera",86,"Tucson"
"Animalia","Arthropoda","Insecta","Argia pallens",27,"Tucson"
"Animalia","Arthropoda","Insecta","Argia sedula",39,"Tucson"
"Animalia","Arthropoda","Insecta","Asphondylia auripila",17,"Tucson"
"Animalia","Arthropoda","Insecta","Asterocampa leilia",23,"Tucson"
"Animalia","Arthropoda","Insecta","Battus philenor",15,"Tucson"
"Animalia","Arthropoda","Insecta","Brephidium exilis",28,"Tucson"
"Animalia","Arthropoda","Insecta","Celastrina ladon",17,"Tucson"
"Animalia","Arthropoda","Insecta","Cotinis mutabilis",43,"Tucson"
"Animalia","Arthropoda","Insecta","Danaus gilippus",57,"Tucson"
"Animalia","Arthropoda","Insecta","Danaus plexippus",41,"Tucson"
"Animalia","Arthropoda","Insecta","Derobrachus hovorei",11,"Tucson"
"Animalia","Arthropoda","Insecta","Echinargus isola",13,"Tucson"
"Animalia","Arthropoda","Insecta","Erythemis collocata",16,"Tucson"
"Animalia","Arthropoda","Insecta","Gryllodes sigillatus",17,"Tucson"
"Animalia","Arthropoda","Insecta","Hemiargus ceraunus",20,"Tucson"
"Animalia","Arthropoda","Insecta","Hylephila phyleus",19,"Tucson"
"Animalia","Arthropoda","Insecta","Hyles lineata",12,"Tucson"
"Animalia","Arthropoda","Insecta","Ischnura ramburii",30,"Tucson"
"Animalia","Arthropoda","Insecta","Junonia coenia",22,"Tucson"
"Animalia","Arthropoda","Insecta","Leptotes marina",13,"Tucson"
"Animalia","Arthropoda","Insecta","Libellula saturata",41,"Tucson"
"Animalia","Arthropoda","Insecta","Lygaeus kalmii",16,"Tucson"
"Animalia","Arthropoda","Insecta","Manduca rustica",26,"Tucson"
"Animalia","Arthropoda","Insecta","Ministrymon leda",11,"Tucson"
"Animalia","Arthropoda","Insecta","Moneilema gigas",12,"Tucson"
"Animalia","Arthropoda","Insecta","Nathalis iole",14,"Tucson"
"Animalia","Arthropoda","Insecta","Orthemis ferruginea",14,"Tucson"
"Animalia","Arthropoda","Insecta","Pachydiplax longipennis",52,"Tucson"
"Animalia","Arthropoda","Insecta","Papilio rumiko",23,"Tucson"
"Animalia","Arthropoda","Insecta","Periplaneta americana",25,"Tucson"
"Animalia","Arthropoda","Insecta","Perithemis intensa",14,"Tucson"
"Animalia","Arthropoda","Insecta","Polistes arizonensis",14,"Tucson"
"Animalia","Arthropoda","Insecta","Polistes aurifer",12,"Tucson"
"Animalia","Arthropoda","Insecta","Pontia protodice",22,"Tucson"
"Animalia","Arthropoda","Insecta","Schistocerca nitens",14,"Tucson"
"Animalia","Arthropoda","Insecta","Strymon melinus",15,"Tucson"
"Animalia","Arthropoda","Insecta","Sympetrum corruptum",22,"Tucson"
"Animalia","Arthropoda","Insecta","Telebasis salva",24,"Tucson"
"Animalia","Arthropoda","Insecta","Thasus neocalifornicus",19,"Tucson"
"Animalia","Arthropoda","Insecta","Vanessa cardui",34,"Tucson"
"Animalia","Arthropoda","Insecta","Xylocopa californica",19,"Tucson"
"Animalia","Arthropoda","Insecta","Xylocopa sonorina",20,"Tucson"
"Animalia","Arthropoda",NA,"Aphonopelma chalcodes",17,"Tucson"
"Animalia","Arthropoda",NA,"Centruroides sculpturatus",11,"Tucson"
"Animalia","Arthropoda",NA,"Latrodectus hesperus",14,"Tucson"
"Animalia","Arthropoda",NA,"Olios giganteus",13,"Tucson"
"Animalia","Arthropoda",NA,"Paravaejovis spinigerus",21,"Tucson"
"Animalia","Chordata","Amphibia","Incilius alvarius",11,"Tucson"
"Animalia","Chordata","Amphibia","Lithobates catesbeianus",21,"Tucson"
"Animalia","Chordata","Aves","Accipiter cooperii",451,"Tucson"
"Animalia","Chordata","Aves","Accipiter striatus",50,"Tucson"
"Animalia","Chordata","Aves","Actitis macularius",14,"Tucson"
"Animalia","Chordata","Aves","Aeronautes saxatalis",17,"Tucson"
"Animalia","Chordata","Aves","Agelaius phoeniceus",64,"Tucson"
"Animalia","Chordata","Aves","Aimophila ruficeps",25,"Tucson"
"Animalia","Chordata","Aves","Aix sponsa",15,"Tucson"
"Animalia","Chordata","Aves","Amphispiza bilineata",152,"Tucson"
