"kingdom","phylum","class","species","nobs","city"
"Animalia","Arthropoda","Insecta","Arilus cristatus",16,"Virginia Beach"
"Animalia","Arthropoda","Insecta","Coccinella septempunctata",13,"Virginia Beach"
"Animalia","Arthropoda","Insecta","Danaus plexippus",18,"Virginia Beach"
"Animalia","Arthropoda","Insecta","Erythemis simplicicollis",23,"Virginia Beach"
"Animalia","Arthropoda","Insecta","Hylephila phyleus",19,"Virginia Beach"
"Animalia","Arthropoda","Insecta","Junonia coenia",25,"Virginia Beach"
"Animalia","Arthropoda","Insecta","Lerema accius",12,"Virginia Beach"
"Animalia","Arthropoda","Insecta","Libellula needhami",11,"Virginia Beach"
"Animalia","Arthropoda","Insecta","Libellula vibrans",23,"Virginia Beach"
"Animalia","Arthropoda","Insecta","Odontotaenius disjunctus",13,"Virginia Beach"
"Animalia","Arthropoda","Insecta","Pachydiplax longipennis",45,"Virginia Beach"
"Animalia","Arthropoda","Insecta","Papilio polibetes",24,"Virginia Beach"
"Animalia","Arthropoda","Insecta","Schistocerca obscura",14,"Virginia Beach"
"Animalia","Arthropoda","Insecta","Xylocopa virginica",19,"Virginia Beach"
"Animalia","Arthropoda","Malacostraca","Emerita talpoida",12,"Virginia Beach"
"Animalia","Arthropoda","Malacostraca","Ocypode quadrata",31,"Virginia Beach"
"Animalia","Arthropoda","Merostomata","Limulus polyphemus",14,"Virginia Beach"
"Animalia","Arthropoda",NA,"Argiope aurantia",41,"Virginia Beach"
"Animalia","Arthropoda",NA,"Phidippus audax",13,"Virginia Beach"
"Animalia","Chordata","Amphibia","Anaxyrus terrestris",22,"Virginia Beach"
"Animalia","Chordata","Amphibia","Dryophytes cinereus",14,"Virginia Beach"
"Animalia","Chordata","Amphibia","Dryophytes squirellus",12,"Virginia Beach"
"Animalia","Chordata","Amphibia","Lithobates catesbeianus",30,"Virginia Beach"
"Animalia","Chordata","Amphibia","Lithobates clamitans",17,"Virginia Beach"
"Animalia","Chordata","Amphibia","Lithobates sphenocephalus",26,"Virginia Beach"
"Animalia","Chordata","Aves","Accipiter cooperii",101,"Virginia Beach"
"Animalia","Chordata","Aves","Accipiter striatus",31,"Virginia Beach"
"Animalia","Chordata","Aves","Actitis macularius",31,"Virginia Beach"
"Animalia","Chordata","Aves","Agelaius phoeniceus",359,"Virginia Beach"
"Animalia","Chordata","Aves","Aix sponsa",69,"Virginia Beach"
"Animalia","Chordata","Aves","Alca torda",39,"Virginia Beach"
"Animalia","Chordata","Aves","Anas acuta",37,"Virginia Beach"
"Animalia","Chordata","Aves","Anas americana",46,"Virginia Beach"
"Animalia","Chordata","Aves","Anas clypeata",92,"Virginia Beach"
"Animalia","Chordata","Aves","Anas crecca",35,"Virginia Beach"
"Animalia","Chordata","Aves","Anas discors",20,"Virginia Beach"
"Animalia","Chordata","Aves","Anas platyrhynchos",404,"Virginia Beach"
"Animalia","Chordata","Aves","Anas rubripes",59,"Virginia Beach"
"Animalia","Chordata","Aves","Anas strepera",91,"Virginia Beach"
"Animalia","Chordata","Aves","Archilochus colubris",65,"Virginia Beach"
"Animalia","Chordata","Aves","Ardea alba",251,"Virginia Beach"
"Animalia","Chordata","Aves","Ardea herodias",371,"Virginia Beach"
"Animalia","Chordata","Aves","Arenaria interpres",16,"Virginia Beach"
"Animalia","Chordata","Aves","Aythya affinis",38,"Virginia Beach"
"Animalia","Chordata","Aves","Aythya americana",12,"Virginia Beach"
"Animalia","Chordata","Aves","Aythya collaris",68,"Virginia Beach"
"Animalia","Chordata","Aves","Aythya fuligula",15,"Virginia Beach"
"Animalia","Chordata","Aves","Aythya marila",22,"Virginia Beach"
"Animalia","Chordata","Aves","Baeolophus bicolor",282,"Virginia Beach"
"Animalia","Chordata","Aves","Bombycilla cedrorum",72,"Virginia Beach"
"Animalia","Chordata","Aves","Botaurus lentiginosus",16,"Virginia Beach"
"Animalia","Chordata","Aves","Branta bernicla",27,"Virginia Beach"
"Animalia","Chordata","Aves","Branta canadensis",445,"Virginia Beach"
"Animalia","Chordata","Aves","Bubo virginianus",30,"Virginia Beach"
"Animalia","Chordata","Aves","Bubulcus ibis",27,"Virginia Beach"
"Animalia","Chordata","Aves","Bucephala albeola",222,"Virginia Beach"
"Animalia","Chordata","Aves","Bucephala clangula",15,"Virginia Beach"
"Animalia","Chordata","Aves","Buteo jamaicensis",153,"Virginia Beach"
"Animalia","Chordata","Aves","Buteo lineatus",59,"Virginia Beach"
"Animalia","Chordata","Aves","Butorides virescens",66,"Virginia Beach"
"Animalia","Chordata","Aves","Calidris alba",76,"Virginia Beach"
"Animalia","Chordata","Aves","Calidris alpina",25,"Virginia Beach"
"Animalia","Chordata","Aves","Calidris minutilla",39,"Virginia Beach"
"Animalia","Chordata","Aves","Calidris pusilla",43,"Virginia Beach"
"Animalia","Chordata","Aves","Cardinalis cardinalis",521,"Virginia Beach"
"Animalia","Chordata","Aves","Cathartes aura",359,"Virginia Beach"
"Animalia","Chordata","Aves","Catharus guttatus",43,"Virginia Beach"
"Animalia","Chordata","Aves","Catharus ustulatus",18,"Virginia Beach"
"Animalia","Chordata","Aves","Certhia americana",47,"Virginia Beach"
"Animalia","Chordata","Aves","Chaetura pelagica",75,"Virginia Beach"
"Animalia","Chordata","Aves","Charadrius semipalmatus",42,"Virginia Beach"
"Animalia","Chordata","Aves","Charadrius vociferus",102,"Virginia Beach"
"Animalia","Chordata","Aves","Chen caerulescens",53,"Virginia Beach"
"Animalia","Chordata","Aves","Chroicocephalus philadelphia",76,"Virginia Beach"
"Animalia","Chordata","Aves","Circus cyaneus",75,"Virginia Beach"
"Animalia","Chordata","Aves","Cistothorus palustris",26,"Virginia Beach"
"Animalia","Chordata","Aves","Clangula hyemalis",26,"Virginia Beach"
"Animalia","Chordata","Aves","Coccyzus americanus",21,"Virginia Beach"
"Animalia","Chordata","Aves","Colaptes auratus",162,"Virginia Beach"
"Animalia","Chordata","Aves","Columba livia",176,"Virginia Beach"
"Animalia","Chordata","Aves","Contopus virens",22,"Virginia Beach"
"Animalia","Chordata","Aves","Coragyps atratus",157,"Virginia Beach"
"Animalia","Chordata","Aves","Corvus brachyrhynchos",561,"Virginia Beach"
"Animalia","Chordata","Aves","Corvus ossifragus",233,"Virginia Beach"
"Animalia","Chordata","Aves","Cyanocitta cristata",322,"Virginia Beach"
"Animalia","Chordata","Aves","Cygnus columbianus",56,"Virginia Beach"
"Animalia","Chordata","Aves","Dryobates villosus",27,"Virginia Beach"
