"Class","Order","Family","avgChangeProb"
"Amphibia","Anura","Hylidae",-0.388897368421053
"Amphibia","Anura","Bufonidae",-0.0324880149812734
"Amphibia","Anura","Eleutherodactylidae",-0.296695
"Amphibia","Anura","Ranidae",-0.227943055555556
"Amphibia","Anura","Scaphiopodidae",-0.308725
"Amphibia","Anura","Pipidae",0.3829
"Amphibia","Caudata","Ambystomatidae",-0.340958638743455
"Amphibia","Caudata","Plethodontidae",-0.360170072992701
"Amphibia","Caudata","Salamandridae",-0.309733333333333
"Aves","Accipitriformes","Accipitridae",0.0639896894409938
"Aves","Accipitriformes","Cathartidae",0.0809
"Aves","Anseriformes","Anatidae",-0.207772866963203
"Aves","Apodiformes","Apodidae",-0.0444722972972973
"Aves","Apodiformes","Trochilidae",-0.070349373433584
"Aves","Caprimulgiformes","Caprimulgidae",0.0806549222797927
"Aves","Charadriiformes","Scolopacidae",-0.180802111613876
"Aves","Charadriiformes","Alcidae",-0.363056603773585
"Aves","Charadriiformes","Charadriidae",-0.254805952380952
"Aves","Charadriiformes","Laridae",-0.158502564102564
"Aves","Charadriiformes","Haematopodidae",-0.312689230769231
"Aves","Charadriiformes","Recurvirostridae",0.116826666666667
"Aves","Ciconiiformes","Ciconiidae",-0.204115151515152
"Aves","Columbiformes","Columbidae",0.230987394957983
"Aves","Coraciiformes","Alcedinidae",-0.455574074074074
"Aves","Cuculiformes","Cuculidae",0.0142446808510638
"Aves","Falconiformes","Falconidae",0.27971935483871
"Aves","Galliformes","Phasianidae",-0.222552962962963
"Aves","Galliformes","Odontophoridae",-0.0934962406015038
"Aves","Gaviiformes","Gaviidae",-0.341878333333333
"Aves","Gruiformes","Aramidae",-0.042075
"Aves","Gruiformes","Rallidae",0.017424926686217
"Aves","Gruiformes","Gruidae",0.0213283333333333
"Aves","Passeriformes","Fringillidae",-0.130387745098039
"Aves","Passeriformes","Sturnidae",-0.7141
"Aves","Passeriformes","Icteridae",-0.0882216012084592
"Aves","Passeriformes","Emberizidae",-0.0379691653786708
