"","species","nobs","taxonKeys","Kingdom","Phylum","Class","Order","Family","Genus","fileName","AUCtest","np","na","cor","TPR","TNR","importantVars","importantValue","percentContribution","Features","Regularization","AUCtrain","AUC","AUCnull","AUCDiffpval"
"1","Abaeis nicippe",8731,1920621,"Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Abaeis","Abaeis_nicippe.csv",0.769515991471215,469,2000,0.360617885361311,0.682996604709372,0.586323369565217,"bio1;bio12;bio13;bio14;bio5;bio6","26.4561;22.3539;4.9373;29.3432;11.2647;5.6448","38.0083;8.9622;2.2425;33.4411;6.0234;11.3225","H",1,0.767690304910243,NA,NA,NA
"2","Abudefduf saxatilis",29536,2398623,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Abudefduf","Abudefduf_saxatilis.csv",0.981672394043528,5,1746,0.247284351009993,0.978373015873016,0.500827287768869,"bio1;bio12;bio13;bio14;bio4;bio5;bio6","0.0774;89.6488;0;0.6574;9.4006;0.2158;0","0.6132;44.883;0;48.8685;3.5868;2.0484;0","LQH",2.5,0.940046452616285,NA,NA,NA
"3","Acalymma vittatum",1127,1047583,"Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Acalymma","Acalymma_vittatum.csv",0.798140127388535,157,2000,0.318716191263945,0.75683066110257,0.540978017241379,"bio1;bio12;bio13;bio14;bio4;bio5;bio6","21.7003;5.1785;24.2613;6.9433;4.3946;7.8013;29.7206","22.235;8.6465;30.2964;1.6657;1.3978;14.245;21.5137","LQHP",1,0.814259968102073,NA,NA,NA
"4","Acanalonia conica",3221,2064632,"Animalia","Arthropoda","Insecta","Hemiptera","Acanaloniidae","Acanalonia","Acanalonia_conica.csv",0.780998181818182,275,2000,0.347510419797997,0.719669938824868,0.56101917057903,"bio1;bio12;bio13;bio14;bio4;bio5;bio6","23.1359;5.1046;25.8013;2.4979;8.4525;7.518;27.4898","21.728;25.9783;11.3579;3.2466;1.2633;17.1519;19.2739","LQH",1,0.807330018501388,NA,NA,NA
"5","Acanthis flammea",390654,5231630,"Animalia","Chordata","Aves","Passeriformes","Fringillidae","Acanthis","Acanthis_flammea.csv",0.827190615482156,6436,6757,0.560193427860581,0.663052158579051,0.66362893570562,"bio1;bio12;bio13;bio14;bio4;bio5;bio6","64.9925;23.8927;2.6519;3.6061;0.525;2.2163;2.1156","72.0431;12.5097;5.4468;2.7849;4.5161;1.4256;1.2738","H",0.5,0.829292173313488,NA,NA,NA
"6","Acanthis hornemanni",33305,5231646,"Animalia","Chordata","Aves","Passeriformes","Fringillidae","Acanthis","Acanthis_hornemanni.csv",0.806046204620462,909,2000,0.482481009764747,0.660018250779053,0.645824790794979,"bio1;bio12;bio13;bio14;bio5;bio6","61.3505;9.548;3.5218;16.7515;2.3193;6.5089","46.3384;3.2233;26.5438;14.2785;2.454;7.162","LQHP",3,0.797533657800932,NA,NA,NA
"7","Acanthocephala declivis",3497,5156078,"Animalia","Arthropoda","Insecta","Hemiptera","Coreidae","Acanthocephala","Acanthocephala_declivis.csv",0.779535601265823,316,2000,0.348186541926512,0.711782996324411,0.567499620924943,"bio1;bio12;bio13;bio14;bio4;bio5;bio6","24.4582;16.273;12.0399;4.7474;13.2666;2.7206;26.4942","30.4531;14.2573;8.4515;17.3241;5.2355;3.2551;21.0234","LQHP",1.5,0.777673930589185,NA,NA,NA
"8","Acanthocephala terminalis",4807,5156079,"Animalia","Arthropoda","Insecta","Hemiptera","Coreidae","Acanthocephala","Acanthocephala_terminalis.csv",0.771066742081448,442,2000,0.375111828124861,0.687428956144609,0.583395155709343,"bio1;bio12;bio13;bio14;bio4;bio5;bio6","15.7417;10.1487;27.5866;20.0241;9.0083;5.2851;12.2056","17.6812;11.9835;8.8364;3.3793;8.7754;10.465;38.8793","LQHP",0.5,0.793241584507042,NA,NA,NA
"9","Accipiter cooperii",2007613,2480621,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_cooperii.csv",0.799588967761451,17710,18609,0.503084237100664,0.649219826862368,0.649853230290453,"bio1;bio12;bio13;bio14;bio4;bio5;bio6","41.0296;11.6351;0.5393;5.1601;23.0542;7.5765;11.0051","60.6368;5.4442;0.254;1.8732;22.8296;3.2089;5.7533","LQHP",0.5,0.799913901032772,NA,NA,NA
"10","Accipiter gentilis",71403,2480589,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_gentilis.csv",0.799659220496675,3477,3693,0.512540364912919,0.649338797240147,0.649889092651415,"bio1;bio12;bio13;bio14;bio4;bio5;bio6","51.6047;11.0106;9.9002;12.4279;4.3156;2.9669;7.7741","53.4692;3.5413;4.3108;28.5384;1.6014;3.5691;4.9697","LQHP",0.5,0.796101117876494,NA,NA,NA
